시도별(1),연령계층별(1),연령계층별(2),2021,2022,2023,2024,2025
계,계,소계,27273,28089,28416,28576,28769
,20 - 29세,소계,3706,3818,3736,3612,3442
,,25 - 29세,2488,2563,2534,2493,2421
,30 - 39세,소계,5257,5303,5357,5447,5549
서울특별시,계,소계,5055,5113,5174,5228,5198
,20 - 29세,소계,868,864,867,837,779
,,25 - 29세,609,612,624,613,578
,30 - 39세,소계,1143,1160,1185,1232,1235
부산광역시,계,소계,1657,1679,1691,1688,1698
,20 - 29세,소계,216,213,217,219,201
,,25 - 29세,152,145,149,156,144
,30 - 39세,소계,294,298,305,304,306
대구광역시,계,소계,1217,1228,1247,1215,1214
,20 - 29세,소계,164,154,154,133,132
,,25 - 29세,109,100,97,94,94
,30 - 39세,소계,224,218,214,211,212
인천광역시,계,소계,1563,1614,1655,1696,1715
,20 - 29세,소계,223,236,224,214,198
,,25 - 29세,144,159,155,150,142
,30 - 39세,소계,309,311,320,334,350
광주광역시,계,소계,745,750,769,774,776
,20 - 29세,소계,101,100,98,93,87
,,25 - 29세,69,69,68,66,62
,30 - 39세,소계,138,136,143,143,142
대전광역시,계,소계,785,794,797,789,811
,20 - 29세,소계,126,132,119,113,115
,,25 - 29세,79,87,85,83,81
,30 - 39세,소계,152,154,160,161,170
울산광역시,계,소계,555,566,572,572,575
,20 - 29세,소계,62,66,64,60,63
,,25 - 29세,43,43,41,40,44
,30 - 39세,소계,111,107,105,102,107
세종특별자치시,계,소계,185,197,208,210,211
,20 - 29세,소계,21,21,21,22,21
,,25 - 29세,16,15,16,15,15
,30 - 39세,소계,48,49,51,50,50
경기도,계,소계,7150,7597,7653,7732,7788
,20 - 29세,소계,1008,1090,1068,1042,966
,,25 - 29세,678,727,714,700,663
,30 - 39세,소계,1504,1543,1547,1581,1607
강원도,계,소계,809,818,841,844,855
,20 - 29세,소계,89,89,90,95,85
,,25 - 29세,53,60,58,63,58
,30 - 39세,소계,119,118,121,125,127
충청북도,계,소계,897,926,939,951,976
,20 - 29세,소계,124,128,123,118,117
,,25 - 29세,79,88,85,83,83
,30 - 39세,소계,153,155,161,162,173
충청남도,계,소계,1193,1226,1248,1264,1297
,20 - 29세,소계,148,153,151,148,153
,,25 - 29세,99,106,105,102,105
,30 - 39세,소계,221,224,221,224,236
전라북도,계,소계,953,968,983,988,979
,20 - 29세,소계,101,104,103,98,95
,,25 - 29세,66,65,67,67,67
,30 - 39세,소계,140,138,143,143,149
전라남도,계,소계,985,1010,1019,1004,997
,20 - 29세,소계,86,89,88,89,91
,,25 - 29세,54,52,54,55,60
,30 - 39세,소계,135,131,129,125,125
경상북도,계,소계,1410,1462,1462,1462,1479
,20 - 29세,소계,147,155,139,141,144
,,25 - 29세,92,98,86,91,100
,30 - 39세,소계,205,214,208,207,214
경상남도,계,소계,1732,1740,1760,1758,1799
,20 - 29세,소계,181,178,166,150,154
,,25 - 29세,120,112,105,92,100
,30 - 39세,소계,293,278,277,278,281
제주도,계,소계,383,402,401,400,403
,20 - 29세,소계,42,46,46,40,40
,,25 - 29세,26,27,26,24,25
,30 - 39세,소계,67,71,69,66,65
