"시도별","취업시간별",2021,2022,2023,2024,2025
"계","계",27273,28089,28416,28576,28769
"계"," 1-17시간",2152,2251,2268,2500,2581
"계"," 18-35시간",4553,5777,4527,6310,4662
"계"," 36-44시간",11835,11669,12917,11905,13156
"계"," 45-53시간",5225,5054,5298,4753,5169
"계","*36시간미만",6706,8028,6795,8810,7242
"계"," 54시간 이상",3018,2856,2980,2662,2709
"계","*36시간 이상",20078,19578,21195,19319,21034
"계","일시휴직자",490,483,426,446,493
"계","주당평균취업시간 (시간)",38.9,38.3,38.9,37.7,38.2
"계","1~14시간",1512,1577,1600,1742,1779
"계","15~35시간",5194,6451,5195,7068,5463
"계","36~52시간",16970,16628,18128,16579,18240
"계","53시간이상",3108,2950,3067,2741,2793
"서울특별시","계",5055,5113,5174,5228,5198
"서울특별시"," 1-17시간",392,366,340,398,387
"서울특별시"," 18-35시간",849,1102,812,1245,884
"서울특별시"," 36-44시간",2296,2222,2479,2243,2502
"서울특별시"," 45-53시간",909,815,920,782,859
"서울특별시","*36시간미만",1242,1468,1151,1643,1271
"서울특별시"," 54시간 이상",507,508,543,463,485
"서울특별시","*36시간 이상",3711,3546,3942,3488,3845
"서울특별시","일시휴직자",103,99,80,98,82
"서울특별시","주당평균취업시간 (시간)",38.6,38.3,39.4,37.6,38.6
"서울특별시","1~14시간",280,248,237,272,262
"서울특별시","15~35시간",962,1220,915,1371,1009
"서울특별시","36~52시간",3190,3022,3382,3014,3349
"서울특별시","53시간이상",521,524,560,474,496
"부산광역시","계",1657,1679,1691,1688,1698
"부산광역시"," 1-17시간",151,151,151,173,176
"부산광역시"," 18-35시간",283,363,272,344,272
"부산광역시"," 36-44시간",703,662,728,696,780
"부산광역시"," 45-53시간",295,293,320,294,296
"부산광역시","*36시간미만",434,514,423,517,449
"부산광역시"," 54시간 이상",192,184,195,152,139
"부산광역시","*36시간 이상",1191,1138,1243,1142,1215
"부산광역시","일시휴직자",33,26,26,30,34
"부산광역시","주당평균취업시간 (시간)",38.5,38.2,38.8,37.4,37.3
"부산광역시","1~14시간",105,109,112,126,125
"부산광역시","15~35시간",329,405,311,391,323
"부산광역시","36~52시간",992,950,1043,986,1073
"부산광역시","53시간이상",198,188,200,156,142
"대구광역시","계",1217,1228,1247,1215,1214
"대구광역시"," 1-17시간",103,106,114,104,109
"대구광역시"," 18-35시간",198,231,176,238,180
"대구광역시"," 36-44시간",551,520,555,529,568
"대구광역시"," 45-53시간",232,233,252,225,244
"대구광역시","*36시간미만",301,337,290,342,289
"대구광역시"," 54시간 이상",113,122,133,103,94
"대구광역시","*36시간 이상",896,874,939,857,905
"대구광역시","일시휴직자",21,17,18,17,20
"대구광역시","주당평균취업시간 (시간)",38.2,38.3,38.8,38.0,38.2
"대구광역시","1~14시간",68,72,79,72,73
"대구광역시","15~35시간",233,266,211,270,216
"대구광역시","36~52시간",781,750,804,753,809
"대구광역시","53시간이상",115,124,135,104,96
"인천광역시","계",1563,1614,1655,1696,1715
"인천광역시"," 1-17시간",110,119,133,154,164
"인천광역시"," 18-35시간",239,313,229,349,225
"인천광역시"," 36-44시간",716,695,790,730,810
"인천광역시"," 45-53시간",308,300,308,291,321
"인천광역시","*36시간미만",349,432,361,503,389
"인천광역시"," 54시간 이상",160,163,174,154,169
"인천광역시","*36시간 이상",1185,1158,1271,1174,1299
"인천광역시","일시휴직자",29,24,22,19,28
"인천광역시","주당평균취업시간 (시간)",39.1,38.8,39.2,37.9,38.7
"인천광역시","1~14시간",79,88,92,107,106
"인천광역시","15~35시간",270,344,269,396,283
"인천광역시","36~52시간",1019,987,1092,1015,1126
"인천광역시","53시간이상",166,171,179,159,174
"광주광역시","계",745,750,769,774,776
"광주광역시"," 1-17시간",58,61,64,76,83
"광주광역시"," 18-35시간",114,141,114,155,107
"광주광역시"," 36-44시간",322,323,362,330,358
"광주광역시"," 45-53시간",145,131,132,135,146
"광주광역시","*36시간미만",172,202,178,231,190
"광주광역시"," 54시간 이상",94,84,88,70,72
"광주광역시","*36시간 이상",560,539,582,535,576
"광주광역시","일시휴직자",12,9,9,9,11
"광주광역시","주당평균취업시간 (시간)",39.7,39.1,39.2,37.8,38.1
"광주광역시","1~14시간",42,44,45,53,60
"광주광역시","15~35시간",130,158,132,177,130
"광주광역시","36~52시간",464,452,492,464,503
"광주광역시","53시간이상",96,87,90,71,72
"대전광역시","계",785,794,797,789,811
"대전광역시"," 1-17시간",70,68,64,67,76
"대전광역시"," 18-35시간",128,163,136,186,138
"대전광역시"," 36-44시간",331,331,365,325,373
"대전광역시"," 45-53시간",143,127,138,121,137
"대전광역시","*36시간미만",198,231,199,253,215
"대전광역시"," 54시간 이상",93,90,78,73,72
"대전광역시","*36시간 이상",567,548,581,520,582
"대전광역시","일시휴직자",19,15,17,16,15
"대전광역시","주당평균취업시간 (시간)",38.5,38.1,38.3,37.2,37.7
"대전광역시","1~14시간",52,46,41,47,52
"대전광역시","15~35시간",147,185,158,206,163
"대전광역시","36~52시간",471,456,501,445,508
"대전광역시","53시간이상",96,92,80,75,74
"울산광역시","계",555,566,572,572,575
"울산광역시"," 1-17시간",42,50,43,47,45
"울산광역시"," 18-35시간",94,111,80,107,76
"울산광역시"," 36-44시간",235,231,247,225,243
"울산광역시"," 45-53시간",114,115,133,121,140
"울산광역시","*36시간미만",135,161,123,153,121
"울산광역시"," 54시간 이상",60,48,59,63,62
"울산광역시","*36시간 이상",409,395,439,409,444
"울산광역시","일시휴직자",10,10,9,10,9
"울산광역시","주당평균취업시간 (시간)",39.2,38.1,39.6,39.0,39.9
"울산광역시","1~14시간",29,34,30,31,31
"울산광역시","15~35시간",106,127,93,122,91
"울산광역시","36~52시간",346,344,377,344,379
"울산광역시","53시간이상",63,51,62,65,65
"세종특별자치시","계",185,197,208,210,211
"세종특별자치시"," 1-17시간",12,14,12,17,15
"세종특별자치시"," 18-35시간",33,44,39,49,37
"세종특별자치시"," 36-44시간",83,81,97,92,102
"세종특별자치시"," 45-53시간",33,31,36,31,34
"세종특별자치시","*36시간미만",45,58,50,66,52
"세종특별자치시"," 54시간 이상",19,18,18,15,17
"세종특별자치시","*36시간 이상",136,131,151,138,153
"세종특별자치시","일시휴직자",5,8,7,7,7
"세종특별자치시","주당평균취업시간 (시간)",38.8,37.2,38.2,36.5,37.5
"세종특별자치시","1~14시간",8,10,8,12,10
"세종특별자치시","15~35시간",37,48,43,54,42
"세종특별자치시","36~52시간",116,112,132,123,135
"세종특별자치시","53시간이상",20,19,19,15,18
"경기도","계",7150,7597,7653,7732,7788
"경기도"," 1-17시간",504,533,514,592,615
"경기도"," 18-35시간",1174,1544,1165,1748,1236
"경기도"," 36-44시간",3214,3320,3722,3326,3712
"경기도"," 45-53시간",1420,1406,1411,1286,1419
"경기도","*36시간미만",1678,2077,1679,2339,1851
"경기도"," 54시간 이상",716,666,721,665,671
"경기도","*36시간 이상",5350,5392,5854,5277,5801
"경기도","일시휴직자",121,129,120,116,136
"경기도","주당평균취업시간 (시간)",39.1,38.4,39.1,37.9,38.4
"경기도","1~14시간",344,361,339,399,417
"경기도","15~35시간",1335,1716,1340,1940,1435
"경기도","36~52시간",4606,4699,5110,4584,5104
